,ID,name,UniProt,Gene Name
0,FBpp0070000,Nep3-PA,Q9W5Y0,Nep3
1,FBpp0300206,Nep3-PB,Q9W5Y0,Nep3
2,FBpp0300207,Nep3-PC,Q9W5Y0,Nep3
3,FBpp0070001,CG9570-PA,Q9W5X6,CG9570
4,FBpp0070002,Or19b-PA,Q8IRZ5,Or19b
5,FBpp0290784,CG15322-PB,Q9W5X2,CG15322
6,FBpp0309860,CG15322-PC,Q9W5X2,CG15322
7,FBpp0070028,Or19a-PB,Q9I816,Or19a
8,FBpp0290787,karr-PA,E2QDA1,karr
9,FBpp0070031,fd19B-PA,Q9W5X5,fd19B
10,FBpp0070034,lky-PA,Q9W5X9,lky
11,FBpp0070035,CG12655-PA,Q9W5Y1,CG12655
12,FBpp0070044,CG33217-PA,Q8MS38,CG33217
13,FBpp0070045,Vps11-PA,Q8SX81,Vps11
14,FBpp0289147,RpL10-PC,O61231,RpL10
15,FBpp0289148,RpL10-PD,O61231,RpL10
16,FBpp0306039,RpL10-PE,O61231,RpL10
17,FBpp0070062,G9a-PA,Q95RU8,G9a
18,FBpp0305207,G9a-PB,M9PGH7,G9a
19,FBpp0070063,cin-PB,P39205,cin
20,FBpp0070064,cin-PA,P39205,cin
21,FBpp0070065,CG3777-PB,O76874,CG3777
22,FBpp0070066,CG3777-PA,O76874,CG3777
23,FBpp0070067,CG3777-PC,O76874,CG3777
24,FBpp0309733,CG3777-PD,O76874,CG3777
25,FBpp0310562,CG3777-PE,O76874,CG3777
26,FBpp0070068,CG12470-PA,Q9V3G9,CG12470
27,FBpp0070069,Or1a-PA,Q9W5G6,Or1a
28,FBpp0070070,y-PA,P09957,y
29,FBpp0070071,ac-PA,P10083,ac
30,FBpp0070072,sc-PA,P10084,sc
31,FBpp0070073,l(1)sc-PA,P09774,l(1)sc
32,FBpp0070074,ase-PA,P09775,ase
33,FBpp0070075,CG13373-PA,Q9W5G0,CG13373
34,FBpp0111860,CG13373-PB,A8JUS8,CG13373
35,FBpp0070076,CG32817-PA,Q8IRY8,CG32817
36,FBpp0307856,CG32817-PC,Q8IRY8,CG32817
37,FBpp0289557,CG32817-PB,Q8IRY8,CG32817
38,FBpp0070077,CG3176-PA,Q9I7Z9,CG3176
39,FBpp0307857,CG3176-PB,M9PDE1,CG3176
40,FBpp0307858,CG3176-PC,M9PDE1,CG3176
41,FBpp0310106,CG3176-PD,Q9I7Z9,CG3176
42,FBpp0070078,CG3156-PA,Q8SWW9,CG3156
43,FBpp0070079,CG17778-PA,Q8MYW2,CG17778
44,FBpp0309131,CG17778-PB,Q8MYW2,CG17778
45,FBpp0070083,arg-PA,O76895,arg
46,FBpp0070087,CG17896-PB,Q7KW39,CG17896
47,FBpp0070088,CG17896-PA,,CG17896
48,FBpp0070089,CG18273-PA,Q9I7Z8,CG18273
49,FBpp0070094,Cyp4g1-PA,Q9V3S0,Cyp4g1
50,FBpp0070095,Pgcl-PA,Q9W5G3,Pgcl
51,FBpp0070096,CG32816-PB,Q8IRY9,CG32816
52,FBpp0070097,CG32816-PA,Q8IRY9,CG32816
53,FBpp0271950,CG32816-PC,B7Z110,CG32816
54,FBpp0271951,CG32816-PD,B7Z110,CG32816
55,FBpp0310563,CG32816-PE,Q8IRY9,CG32816
56,FBpp0310564,CG32816-PF,Q8IRY9,CG32816
57,FBpp0070098,CG13375-PA,Q9W5G7,CG13375
58,FBpp0289555,CG13375-PB,Q9W5G7,CG13375
59,FBpp0309734,CG13375-PC,X2JC14,CG13375
60,FBpp0070102,CG3038-PB,Q8IRZ0,CG3038
61,FBpp0070103,CG3038-PA,Q95RP8,CG3038
62,FBpp0309182,CG3038-PC,X2JD78,CG3038
63,FBpp0070104,Appl-PA,P14599,Appl
64,FBpp0298292,Appl-PB,M9NE22,Appl
65,FBpp0298293,Appl-PC,M9NEM2,Appl
66,FBpp0298294,Appl-PD,M9NGF6,Appl
